"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx"
16550,34,554407.2065,6804149.1895,7,169.228332519531,NA,NA,"STN16550",68
16575,30,554393.5935,6804127.8445,7,169.259994506836,NA,NA,"STN16575",66
16600,22,554382.973,6804103.8435,7,169.283996582031,NA,NA,"STN16600",62
16625,2,554386.291,6804068.9695,7,169.612503051758,NA,NA,"STN16625",52
16650,-12,554397.2725,6804044.504,7,170.023330688477,182.5,NA,"STN16650",45
16675,-12,554397.155,6804019.5045,7,169.75,188.655838012695,NA,"STN16675",45
16700,-26,554411.0375,6803994.435,7,169.639999389648,179.448333740234,NA,"STN16700",38
16725,-26,554412.9025,6803989.115,7,169.454284667969,179.768005371094,NA,"STN16725",38
16750,-14,554418.693,6803959.154,7,169.671997070312,191.483993530273,NA,"STN16750",44
16775,-17,554428.817,6803929.574,7,169.649993896484,184.664993286133,NA,"STN16775",40
16800,-23,554434.6995,6803904.544,7,169.300003051758,NA,NA,"STN16800",36
16825,-30,554441.582,6803879.5095,7,169.550003051758,NA,169.455001831055,"STN16825",33
16850,-16,554427.4645,6803854.58,7,169.445007324219,189.107498168945,NA,"STN16850",42
16875,-29,554440.347,6803829.515,7,169.440002441406,185.128005981445,NA,"STN16875",35
16900,-22,554431.695,6803802.5705,7,169.839996337891,177.809997558594,NA,"STN16900",38
16925,-17,554412.824,6803772.584,7,169.657501220703,186.141662597656,NA,"STN16925",38
16950,-22,554399.9595,6803750.5745,7,169.574996948242,180.869995117188,NA,"STN16950",36
16975,-21,554382.607,6803732.549,7,169.690002441406,177.110000610352,NA,"STN16975",36
17000,-21,554366.003,6803713.8595,7,169.610000610352,NA,NA,"STN17000",36
17025,-22,554350.147,6803694.506,7,170.195007324219,178.820007324219,NA,"STN17025",35
17050,-24,554335.039,6803674.4885,7,170.634994506836,176.460006713867,NA,"STN17050",34
17075,-22,554316.939,6803657.127,7,169.600006103516,NA,NA,"STN17075",35
17100,-20,554298.8385,6803639.765,7,169.701431274414,NA,NA,"STN17100",37
17125,-24,554263.6905,6803619.4585,7,169.751663208008,NA,NA,"STN17125",39
17150,-26,554238.215,6803617.276,7,169.971435546875,NA,NA,"STN17150",38
